id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R5,0.25,6.92994,0.159749,0.194833,0.00256255,AIR,LF
20-06-24_R5,0.308081,7.12213,9.50147e-16,0.187833,0.00426224,AIR,LF
20-06-24_R5,0.366162,7.1478,0.0,0.158167,0.00292689,AIR,LF
20-06-24_R5,0.424242,7.19942,9.50147e-16,0.222667,0.00287518,AIR,LF
20-06-24_R5,0.482323,6.945,0.0,0.184167,0.00132916,AIR,LF
20-06-24_R5,0.540404,6.67552,9.50147e-16,0.203667,0.00121106,AIR,LF
20-06-24_R5,0.598485,7.17056,0.309311,0.191167,0.00194079,AIR,LF
20-06-24_R5,0.656566,7.29672,0.174783,0.172,0.00316228,AIR,LF
20-06-24_R5,0.714646,7.51079,0.221085,0.183,0.00178885,AIR,LF
20-06-24_R5,0.772727,8.33567,0.19967,0.240167,0.00194079,AIR,LF
20-06-24_R5,0.830808,7.162,0.311745,0.209667,0.00778888,AIR,LF
20-06-24_R5,0.888889,7.38304,9.50147e-16,0.179833,0.00337145,AIR,LF
20-06-24_R5,0.94697,7.57133,0.0,0.188833,0.00213698,AIR,LF
20-06-24_R5,1.00505,7.71977,0.177955,0.166333,0.00150555,AIR,LF
20-06-24_R5,1.06313,5.97348,0.188289,0.119667,0.00560952,AIR,LF
20-06-24_R5,1.12121,8.56874,0.197526,0.203167,0.00263944,AIR,LF
20-06-24_R5,1.17929,9.03294,0.20376,0.2205,0.00234521,AIR,LF
20-06-24_R5,1.23737,8.1036,0.349558,0.201,0.00189737,AIR,LF
20-06-24_R5,1.29545,7.94519,0.183153,0.203333,0.0018619,AIR,LF
20-06-24_R5,1.35354,7.76765,0.244843,0.1935,0.00308221,AIR,LF
20-06-24_R5,1.41162,7.81399,0.230011,0.172,0.00189737,AIR,LF
20-06-24_R5,1.4697,7.49006,9.50147e-16,0.168,0.00244949,AIR,LF
20-06-24_R5,1.52778,7.78593,0.229183,0.174667,0.00163299,AIR,LF
20-06-24_R5,1.58586,7.46316,9.50147e-16,0.157,0.00357771,AIR,LF
20-06-24_R5,1.64394,7.22836,0.227843,0.145167,0.00256255,AIR,LF
20-06-24_R5,1.70202,2.01153,0.0932622,0.0426833,0.00187341,AIR,LF
20-06-24_R5,1.7601,3.97251,0.0951557,0.0791167,0.00242191,AIR,LF
20-06-24_R5,1.81818,3.20249,0.435765,0.0697,0.00743129,AIR,LF
20-06-24_R5,1.87626,4.34357,0.189065,0.0970833,0.00445215,AIR,LF
20-06-24_R5,1.93434,4.80768,0.141518,0.0929333,0.00327394,AIR,LF
20-06-24_R5,1.99242,3.71003,0.0888695,0.0716833,0.00255454,AIR,LF
20-06-24_R5,2.05051,0.518783,0.0462071,0.0158833,0.000998833,AIR,LF
20-06-24_R5,2.10859,0.764116,0.03326,0.0224,0.000916515,AIR,LF
20-06-24_R5,2.16667,2.52492,0.074322,0.0548167,0.00111609,AIR,LF
20-06-24_R5,2.22475,2.59831,0.0622395,0.0543333,0.000520256,AIR,LF
20-06-24_R5,2.28283,3.05028,0.156986,0.06075,0.0017638,AIR,LF
20-06-24_R5,2.34091,3.31512,0.104677,0.0643333,0.00199265,AIR,LF
20-06-24_R5,2.39899,2.3004,0.0992303,0.0401667,0.00312261,AIR,LF
20-06-24_R5,2.45707,1.72411,0.0412988,0.0409,0.00406694,AIR,LF
20-06-24_R5,2.51515,1.72411,0.0412988,0.0280667,0.000242212,AIR,LF
20-06-24_R5,2.57323,2.17724,0.466084,0.02715,0.00169912,AIR,LF
20-06-24_R5,2.63131,2.32547,0.1623,0.0326167,0.00294307,AIR,LF
20-06-24_R5,2.68939,1.51998,0.218107,0.0240667,0.00128944,AIR,LF
20-06-24_R5,2.74747,0.924755,0.0428749,0.01745,0.000568331,AIR,LF
20-06-24_R5,2.80556,1.39185,0.0968008,0.0217167,0.000908662,AIR,LF
20-06-24_R5,2.86364,1.8731,0.0551358,0.0395667,0.00120775,AIR,LF
20-06-24_R5,2.92172,0.74416,0.0508136,0.0180833,0.00133629,AIR,LF
20-06-24_R5,2.9798,1.7161,0.0514931,0.037,0.000536656,AIR,LF
20-06-24_R5,3.03788,2.05222,0.0747358,0.0424833,0.00175319,AIR,LF
20-06-24_R5,3.09596,2.40667,0.0722141,0.0429667,0.00230536,AIR,LF
20-06-24_R5,3.15404,2.04043,0.0888148,0.0360333,0.00147739,AIR,LF
20-06-24_R5,3.21212,2.16698,0.511252,0.0328333,0.00258741,AIR,LF
20-06-24_R5,3.2702,6.60385,0.0,0.1275,0.00554076,AIR,LF
20-06-24_R5,3.32828,6.27776,0.298982,0.0892833,0.00369021,AIR,LF
20-06-24_R5,3.38636,5.41967,0.317996,0.114,0.0085557,AIR,LF
20-06-24_R5,3.44444,2.52842,0.092078,0.0589667,0.00107455,AIR,LF
20-06-24_R5,3.50253,1.90135,0.0542742,0.0470667,0.00158703,AIR,LF
20-06-24_R5,3.56061,2.36987,0.0863037,0.0566167,0.00141763,AIR,LF
20-06-24_R5,3.61869,0.887692,0.0616309,0.0299,0.000817313,AIR,LF
20-06-24_R5,3.67677,0.741855,0.00137904,0.02775,0.000432435,AIR,LF
20-06-24_R5,3.73485,0.847192,0.0207249,0.0285333,0.000621825,AIR,LF
20-06-24_R5,3.79293,0.411152,0.0725156,0.07955,0.0195974,AIR,LF
20-06-24_R5,3.85101,0.389464,0.0270866,0.02175,0.000372827,AIR,LF
20-06-24_R5,3.90909,0.95661,0.0,0.0328,0.0006,AIR,LF
20-06-24_R5,3.96717,1.03357,0.0886743,0.035,0.00211755,AIR,LF
20-06-24_R5,4.02525,0.823701,0.0497265,0.0342,0.000576194,AIR,LF
20-06-24_R5,4.08333,0.403783,0.0189671,0.0422167,0.00516737,AIR,LF
20-06-24_R5,4.14141,0.425892,0.0341896,0.0321167,0.000842417,AIR,LF
20-06-24_R5,4.19949,0.34664,0.0229721,0.0352667,0.000688961,AIR,LF
20-06-24_R5,4.25758,0.126992,0.0104478,0.03645,0.000671565,AIR,LF
20-06-24_R5,4.31566,0.635296,0.0514029,0.0433167,0.000884119,AIR,LF
20-06-24_R5,4.37374,0.585346,0.0301107,0.05355,0.0156192,AIR,LF
20-06-24_R5,4.43182,1.04664,0.0,0.06395,0.0129987,AIR,LF
20-06-24_R5,4.4899,0.885513,0.0367599,0.0506667,0.000801665,AIR,LF
20-06-24_R5,4.54798,0.552016,0.035841,0.0452,0.00353214,AIR,LF
20-06-24_R5,4.60606,1.45145,0.0626102,0.05675,0.00214266,AIR,LF
20-06-24_R5,4.66414,1.9301,0.057108,0.06375,0.00129112,AIR,LF
20-06-24_R5,4.72222,1.65019,0.0718292,0.0572167,0.00115484,AIR,LF
20-06-24_R5,4.7803,1.10819,0.0478032,0.0494,0.000672309,AIR,LF
20-06-24_R5,4.83838,0.887365,0.0279704,0.0506667,0.00110755,AIR,LF
20-06-24_R5,4.89646,0.806692,0.0599701,0.0473,0.00114368,AIR,LF
20-06-24_R5,4.95455,0.856997,0.0257149,0.0511667,0.00100731,AIR,LF
20-06-24_R5,5.01263,0.444668,0.0260907,0.0463667,0.00124526,AIR,LF
20-06-24_R5,5.07071,0.279685,0.0240175,0.0400833,0.000886378,AIR,LF
20-06-24_R5,5.12879,0.304134,0.0254517,0.0408833,0.000570672,AIR,LF
20-06-24_R5,5.18687,0.160654,0.0195848,0.0378667,0.00107269,AIR,LF
20-06-24_R5,5.24495,0.217081,0.0176693,0.0360333,0.00042269,AIR,LF
20-06-24_R5,5.30303,0.112617,0.0146691,0.0361333,0.000588784,AIR,LF
20-06-24_R5,5.36111,1.00405,0.277934,0.509333,0.00294392,AIR,LF
20-06-24_R5,5.41919,1.02135,0.20143,0.552833,0.011071,AIR,LF
20-06-24_R5,5.47727,1.15687,0.360579,0.544833,0.00705455,AIR,LF
20-06-24_R5,5.53535,0.934671,0.173896,0.557,0.0143666,AIR,LF
20-06-24_R5,5.59343,0.9617,0.17542,0.586333,0.00758068,AIR,LF
20-06-24_R5,5.65152,1.00222,0.11935,0.622167,0.00696898,AIR,LF
20-06-24_R5,5.7096,1.03264,0.205609,0.6395,0.0131719,AIR,LF
20-06-24_R5,5.76768,1.17358,0.256357,0.663667,0.0169548,AIR,LF
20-06-24_R5,5.82576,1.19407,0.253619,0.647833,0.00754763,AIR,LF
20-06-24_R5,5.88384,1.20549,0.155683,0.661167,0.0155617,AIR,LF
20-06-24_R5,5.94192,1.21334,0.367819,0.651667,0.0121271,AIR,LF
20-06-24_R5,6.0,1.117,0.162174,0.664833,0.00598052,AIR,LF
