id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
30-05-24_R1,0.25,5.06,,0.131,,PCR,LF
30-05-24_R1,0.367347,7.28,,0.154,,PCR,LF
30-05-24_R1,0.484694,6.77,,0.145,,PCR,LF
30-05-24_R1,0.602041,7.19,,0.16,,PCR,LF
30-05-24_R1,0.719388,7.57,,0.184,,PCR,LF
30-05-24_R1,0.836735,7.12,,0.154,,PCR,LF
30-05-24_R1,0.954082,4.11,,0.0787,,PCR,LF
30-05-24_R1,1.07143,7.41,,0.141,,PCR,LF
30-05-24_R1,1.18878,9.12,,0.186,,PCR,LF
30-05-24_R1,1.30612,7.35,,0.133,,PCR,LF
30-05-24_R1,1.42347,7.3,,0.114,,PCR,LF
30-05-24_R1,1.54082,6.43,,0.11,,PCR,LF
30-05-24_R1,1.65816,5.18,,0.069,,PCR,LF
30-05-24_R1,1.77551,1.8,,0.0279,,PCR,LF
30-05-24_R1,1.89286,1.0,,0.0195,,PCR,LF
30-05-24_R1,2.0102,3.62,,0.0556,,PCR,LF
30-05-24_R1,2.12755,1.68,,0.0346,,PCR,LF
30-05-24_R1,2.2449,0.206,,0.00764,,PCR,LF
30-05-24_R1,2.36224,0.0734,,0.00539,,PCR,LF
30-05-24_R1,2.47959,0.155,,0.00603,,PCR,LF
30-05-24_R1,2.59694,0.594,,0.0129,,PCR,LF
30-05-24_R1,2.71429,0.66,,0.0134,,PCR,LF
30-05-24_R1,2.83163,0.849,,0.0157,,PCR,LF
30-05-24_R1,2.94898,0.493,,0.00939,,PCR,LF
30-05-24_R1,3.06633,2.04,,0.0368,,PCR,LF
30-05-24_R1,3.18367,0.188,,0.00541,,PCR,LF
30-05-24_R1,3.30102,1.69,,0.0289,,PCR,LF
30-05-24_R1,3.41837,0.743,,0.016,,PCR,LF
30-05-24_R1,3.53571,0.486,,0.0149,,PCR,LF
30-05-24_R1,3.65306,0.41,,0.0138,,PCR,LF
30-05-24_R1,3.77041,0.0555,,0.0133,,PCR,LF
30-05-24_R1,3.88776,0.381,,0.0157,,PCR,LF
30-05-24_R1,4.0051,0.325,,0.0165,,PCR,LF
30-05-24_R1,4.12245,0.0694,,0.023,,PCR,LF
30-05-24_R1,4.2398,0.0716,,0.0201,,PCR,LF
30-05-24_R1,4.35714,0.118,,0.0214,,PCR,LF
30-05-24_R1,4.47449,0.097,,0.0207,,PCR,LF
30-05-24_R1,4.59184,0.0948,,0.0253,,PCR,LF
30-05-24_R1,4.70918,0.0575,,0.0173,,PCR,LF
30-05-24_R1,4.82653,0.0652,,0.0214,,PCR,LF
30-05-24_R1,4.94388,0.0922,,0.0238,,PCR,LF
30-05-24_R1,5.06122,0.127,,0.0221,,PCR,LF
30-05-24_R1,5.17857,0.0821,,0.0224,,PCR,LF
30-05-24_R1,5.29592,0.0431,,0.0201,,PCR,LF
30-05-24_R1,5.41327,0.497,,0.289,,PCR,LF
30-05-24_R1,5.53061,0.479,,0.303,,PCR,LF
30-05-24_R1,5.64796,0.554,,0.32,,PCR,LF
30-05-24_R1,5.76531,0.65,,0.354,,PCR,LF
30-05-24_R1,5.88265,0.619,,0.374,,PCR,LF
30-05-24_R1,6.0,0.584,,0.383,,PCR,LF
