id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R10,4.95455,4.08417,0.122549,0.11,0.00236643,BOX,LF
20-06-24_R10,5.01263,2.61429,0.0784439,0.086,0.000715542,BOX,LF
20-06-24_R10,5.07071,1.65721,0.039696,0.0645,0.000987927,BOX,LF
20-06-24_R10,5.12879,1.96524,0.0619463,0.069,0.000950789,BOX,LF
20-06-24_R10,5.18687,2.22804,0.0,0.07555,0.00115369,BOX,LF
20-06-24_R10,5.24495,1.80042,0.0529964,0.0660333,0.000598888,BOX,LF
20-06-24_R10,5.30303,0.526659,0.0160058,0.0431833,0.000793515,BOX,LF
20-06-24_R10,5.36111,0.867314,0.10463,0.548167,0.00875024,BOX,LF
20-06-24_R10,5.41919,1.16869,0.180439,0.557667,0.00799166,BOX,LF
20-06-24_R10,5.47727,2.45989,0.250028,0.599667,0.00871015,BOX,LF
20-06-24_R10,5.53535,1.90355,0.220883,0.605833,0.00820772,BOX,LF
20-06-24_R10,5.59343,2.62423,0.219611,0.615333,0.00680196,BOX,LF
20-06-24_R10,5.65152,2.47541,0.116279,0.621167,0.00601387,BOX,LF
20-06-24_R10,5.7096,3.69491,1.0256,0.643167,0.00941099,BOX,LF
20-06-24_R10,5.76768,2.80389,0.19569,0.630833,0.00591326,BOX,LF
20-06-24_R10,5.82576,3.4986,0.21121,0.663167,0.0139774,BOX,LF
20-06-24_R10,5.88384,2.85624,0.219508,0.674833,0.00676511,BOX,LF
20-06-24_R10,5.94192,2.03688,0.293215,0.664333,0.00835863,BOX,LF
20-06-24_R10,6.0,1.5594,0.230441,0.688167,0.0100083,BOX,LF
