id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R15,0.25,0.371809,0.00109484,0.0255333,0.000338625,SIL,HF
20-06-24_R15,0.322785,0.458739,0.0109885,0.0234167,0.000194079,SIL,HF
20-06-24_R15,0.39557,0.788895,0.0476254,0.0277167,0.000507609,SIL,HF
20-06-24_R15,0.468354,2.06418,0.0607609,0.0479833,0.00022286,SIL,HF
20-06-24_R15,0.541139,0.846467,0.0,0.02785,5.47723e-05,SIL,HF
20-06-24_R15,0.613924,0.836682,0.0246281,0.0275667,0.000686052,SIL,HF
20-06-24_R15,0.686709,2.12192,0.0636703,0.0483833,0.000507609,SIL,HF
20-06-24_R15,0.759494,0.925237,0.0221627,0.0359833,0.00307208,SIL,HF
20-06-24_R15,0.832278,1.75475,0.0875826,0.0446833,0.000945339,SIL,HF
20-06-24_R15,0.905063,3.29073,0.075857,0.0662333,0.00373774,SIL,HF
20-06-24_R15,0.977848,4.26375,0.0982878,0.0873667,0.00235344,SIL,HF
20-06-24_R15,1.05063,4.88832,0.111349,0.09375,0.00119122,SIL,HF
20-06-24_R15,1.12342,3.87746,0.0,0.0756333,0.00115007,SIL,HF
20-06-24_R15,1.1962,4.30029,0.126582,0.08265,0.000463681,SIL,HF
20-06-24_R15,1.26899,4.35978,0.202136,0.0812833,0.00180601,SIL,HF
20-06-24_R15,1.34177,3.41539,0.0818109,0.0672167,0.000661564,SIL,HF
20-06-24_R15,1.41456,3.00338,0.0,0.06035,0.000744983,SIL,HF
20-06-24_R15,1.48734,1.68286,0.0,0.0360667,0.000242212,SIL,HF
20-06-24_R15,1.56013,1.17603,0.0271097,0.0272833,0.00065549,SIL,HF
20-06-24_R15,1.63291,1.80475,0.0541531,0.0385333,0.000875595,SIL,HF
20-06-24_R15,1.7057,1.79827,0.0539584,0.0389833,0.000643169,SIL,HF
20-06-24_R15,1.77848,1.77446,0.0425044,0.03815,0.000164317,SIL,HF
20-06-24_R15,1.85127,1.2048,0.0379758,0.0396667,0.0023653,SIL,HF
