id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R8,0.25,6.97003,0.0,0.197333,0.00307679,SIL,LF
20-06-24_R8,0.322785,7.12213,9.50147e-16,0.201167,0.00256255,SIL,LF
20-06-24_R8,0.39557,7.1478,0.0,0.187833,0.00231661,SIL,LF
20-06-24_R8,0.468354,6.97003,0.0,0.2,0.00918695,SIL,LF
20-06-24_R8,0.541139,6.84861,0.215874,0.208333,0.0111295,SIL,LF
20-06-24_R8,0.613924,7.44697,0.171668,0.215833,0.00397073,SIL,LF
20-06-24_R8,0.686709,7.59633,0.343477,0.203333,0.00615359,SIL,LF
20-06-24_R8,0.759494,8.07788,0.0,0.388,0.0298931,SIL,LF
20-06-24_R8,0.832278,6.35667,0.146533,0.1325,0.0133079,SIL,LF
20-06-24_R8,0.905063,7.06424,0.169213,0.164167,0.0105151,SIL,LF
20-06-24_R8,0.977848,7.34162,0.220292,0.197167,0.00263944,SIL,LF
20-06-24_R8,1.05063,7.80466,0.234184,0.18,0.00583095,SIL,LF
20-06-24_R8,1.12342,8.16554,0.0,0.183,0.00154919,SIL,LF
20-06-24_R8,1.1962,9.05598,0.266569,0.216333,0.00516398,SIL,LF
20-06-24_R8,1.26899,7.79565,0.245725,0.186167,0.00386868,SIL,LF
20-06-24_R8,1.34177,7.91666,0.182495,0.172167,0.00231661,SIL,LF
20-06-24_R8,1.41456,7.96246,0.0,0.184167,0.00440076,SIL,LF
20-06-24_R8,1.48734,7.78593,0.229183,0.166333,0.00492612,SIL,LF
20-06-24_R8,1.56013,6.1071,0.286872,0.121333,0.00413118,SIL,LF
20-06-24_R8,1.63291,4.87737,0.143569,0.09455,0.00242961,SIL,LF
20-06-24_R8,1.7057,2.44103,0.189157,0.0516333,0.00331703,SIL,LF
20-06-24_R8,1.77848,2.28478,0.304602,0.0484333,0.00570882,SIL,LF
20-06-24_R8,1.85127,1.74643,0.0898818,0.0610667,0.00283525,SIL,LF
20-06-24_R8,1.92405,3.58387,0.112967,0.07125,0.0012341,SIL,LF
20-06-24_R8,1.99684,3.9683,0.119072,0.0721,0.00167332,SIL,LF
20-06-24_R8,2.06962,0.837016,0.0557358,0.0198833,0.000744088,SIL,LF
20-06-24_R8,2.14241,2.03197,0.0468404,0.0493333,0.00271784,SIL,LF
20-06-24_R8,2.21519,1.75354,0.0526168,0.03795,0.000781665,SIL,LF
20-06-24_R8,2.28797,2.28486,0.0,0.04815,0.000697854,SIL,LF
20-06-24_R8,2.36076,2.6049,0.078162,0.0539,0.00193907,SIL,LF
20-06-24_R8,2.43354,2.94046,0.0926851,0.0804667,0.0246932,SIL,LF
20-06-24_R8,2.50633,3.39418,0.0,0.0611167,0.00241944,SIL,LF
20-06-24_R8,2.57911,4.35978,0.202136,0.0811167,0.000778246,SIL,LF
20-06-24_R8,2.6519,2.4029,0.0,0.04865,0.0003937,SIL,LF
20-06-24_R8,2.72468,3.95877,0.116528,0.0713333,0.00144868,SIL,LF
20-06-24_R8,2.79747,3.6308,0.0869712,0.07065,0.000821584,SIL,LF
20-06-24_R8,2.87025,6.646,0.19563,0.140167,0.0033116,SIL,LF
20-06-24_R8,2.94304,4.35679,0.100433,0.0781167,0.0012703,SIL,LF
20-06-24_R8,3.01582,3.97751,0.240827,0.0632667,0.000943751,SIL,LF
20-06-24_R8,3.08861,4.432,0.161401,0.0692333,0.00142922,SIL,LF
20-06-24_R8,3.16139,4.69461,0.170964,0.06885,0.00133079,SIL,LF
20-06-24_R8,3.23418,6.87424,0.25034,0.133333,0.00427395,SIL,LF
20-06-24_R8,3.30696,2.93679,0.0864465,0.04695,0.00281123,SIL,LF
20-06-24_R8,3.37975,4.99579,0.149903,0.109,0.00126491,SIL,LF
20-06-24_R8,3.45253,2.41791,0.0579178,0.05815,0.00100548,SIL,LF
20-06-24_R8,3.52532,0.408533,0.0341203,0.0214167,0.000440076,SIL,LF
20-06-24_R8,3.5981,0.72034,0.0262327,0.0268167,0.000479236,SIL,LF
20-06-24_R8,3.67089,0.686472,0.0202066,0.0265667,0.00044572,SIL,LF
20-06-24_R8,3.74367,0.657413,0.039603,0.0257167,0.000453505,SIL,LF
20-06-24_R8,3.81646,1.33746,0.0698936,0.0647,0.00536805,SIL,LF
20-06-24_R8,3.88924,1.43866,0.0868511,0.0423167,0.00079854,SIL,LF
20-06-24_R8,3.96203,0.922805,0.0,0.03445,0.000372827,SIL,LF
