id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R0,0.25,0.241993,0.1485,0.02065,0.00472303,AIR,HF
20-06-24_R0,0.308081,0.159621,0.00821506,0.01825,0.00049295,AIR,HF
20-06-24_R0,0.366162,0.915304,0.0219249,0.03,0.000252982,AIR,HF
20-06-24_R0,0.424242,0.711596,0.274208,0.0256667,0.00499546,AIR,HF
20-06-24_R0,0.482323,0.698314,0.128305,0.0253333,0.00329161,AIR,HF
20-06-24_R0,0.540404,0.0424633,0.0209036,0.00940667,0.00174887,AIR,HF
20-06-24_R0,0.598485,0.314368,0.0811928,0.01455,0.00204915,AIR,HF
20-06-24_R0,0.656566,0.377691,0.0358873,0.018,0.000260768,AIR,HF
20-06-24_R0,0.714646,0.342105,0.057439,0.0177167,0.000815884,AIR,HF
20-06-24_R0,0.772727,0.428437,0.10386,0.0226333,0.00137502,AIR,HF
20-06-24_R0,0.830808,0.161136,0.0838693,0.0171833,0.00419782,AIR,HF
20-06-24_R0,0.888889,0.966325,0.623549,0.0603833,0.0279186,AIR,HF
20-06-24_R0,0.94697,1.8841,0.0434323,0.0433167,0.00382749,AIR,HF
20-06-24_R0,1.00505,2.34931,0.0562746,0.0487333,0.00342559,AIR,HF
20-06-24_R0,1.06313,1.43604,0.0649323,0.0306,0.00412116,AIR,HF
20-06-24_R0,1.12121,2.11299,0.0992541,0.0447833,0.00482262,AIR,HF
20-06-24_R0,1.17929,0.912899,0.0,0.0249667,0.00102697,AIR,HF
20-06-24_R0,1.23737,1.82071,0.0785381,0.03875,0.00202064,AIR,HF
20-06-24_R0,1.29545,1.25187,0.0368501,0.0287167,0.00222029,AIR,HF
20-06-24_R0,1.35354,1.37299,0.0411977,0.0318833,0.000491596,AIR,HF
20-06-24_R0,1.41162,1.62594,0.0487872,0.0347833,0.00284564,AIR,HF
20-06-24_R0,1.4697,1.90684,0.045676,0.0390333,0.00414616,AIR,HF
20-06-24_R0,1.52778,1.49985,0.0,0.0337333,0.000326599,AIR,HF
20-06-24_R0,1.58586,1.81125,0.0543483,0.0374,0.00345427,AIR,HF
20-06-24_R0,1.64394,1.32716,0.0,0.0305833,0.00105341,AIR,HF
20-06-24_R0,1.70202,1.747,0.0402717,0.0368167,0.00198939,AIR,HF
20-06-24_R0,1.7601,1.66479,0.0,0.0356833,0.000808497,AIR,HF
20-06-24_R0,1.81818,1.1392,0.730137,0.0266,0.00564659,AIR,HF
20-06-24_R0,1.87626,2.96827,0.0711001,0.0622333,0.000560952,AIR,HF
20-06-24_R0,1.93434,4.72777,0.146522,0.0877333,0.00232264,AIR,HF
20-06-24_R0,1.99242,6.18974,9.50147e-16,0.109617,0.00850186,AIR,HF
20-06-24_R0,2.05051,4.89903,0.0,0.0932833,0.00242026,AIR,HF
20-06-24_R0,2.10859,1.45966,0.089437,0.0382333,0.00387746,AIR,HF
