id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
30-05-24_R0,0.25,6.87,,0.147,,PCR,LF
30-05-24_R0,0.552632,6.5,,0.16,,PCR,LF
30-05-24_R0,0.855263,7.21,,0.158,,PCR,LF
30-05-24_R0,1.15789,4.26,,0.0792,,PCR,LF
30-05-24_R0,1.46053,3.27,,0.0489,,PCR,LF
30-05-24_R0,1.76316,5.85,,0.0924,,PCR,LF
30-05-24_R0,2.06579,1.2,,0.0224,,PCR,LF
30-05-24_R0,2.36842,0.553,,0.0133,,PCR,LF
30-05-24_R0,2.67105,0.112,,0.00515,,PCR,LF
30-05-24_R0,2.97368,0.698,,0.0146,,PCR,LF
30-05-24_R0,3.27632,1.0,,0.021,,PCR,LF
30-05-24_R0,3.57895,0.597,,0.0163,,PCR,LF
30-05-24_R0,3.88158,0.202,,0.0121,,PCR,LF
30-05-24_R0,4.18421,0.0631,,0.0166,,PCR,LF
30-05-24_R0,4.48684,0.144,,0.0225,,PCR,LF
30-05-24_R0,4.78947,0.0593,,0.0199,,PCR,LF
30-05-24_R0,5.09211,0.102,,0.0224,,PCR,LF
30-05-24_R0,5.39474,0.687,,0.3,,PCR,LF
30-05-24_R0,5.69737,0.865,,0.399,,PCR,LF
30-05-24_R0,6.0,0.754,,0.394,,PCR,LF
