id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R14,0.25,6.97841,0.0129745,0.197,0.0131757,SIL,LF
20-06-24_R14,0.333333,7.1478,0.0,0.1725,0.00104881,SIL,LF
20-06-24_R14,0.416667,7.38609,0.232817,0.173833,0.00416733,SIL,LF
20-06-24_R14,0.5,6.84577,0.0,0.202,0.0054037,SIL,LF
20-06-24_R14,0.583333,6.945,0.0,0.203167,0.00292689,SIL,LF
20-06-24_R14,0.666667,7.22537,0.0,0.189833,0.0030605,SIL,LF
20-06-24_R14,0.75,8.107,0.0,0.232333,0.00763326,SIL,LF
20-06-24_R14,0.833333,7.22537,0.0,0.181667,0.00332666,SIL,LF
20-06-24_R14,0.916667,6.38425,0.188742,0.134833,0.00696898,SIL,LF
20-06-24_R14,1.0,5.69342,0.16759,0.116167,0.00587934,SIL,LF
20-06-24_R14,1.08333,8.18814,0.241022,0.191,0.00404969,SIL,LF
20-06-24_R14,1.16667,8.99855,0.0,0.218333,0.00557375,SIL,LF
20-06-24_R14,1.25,8.01997,1.90029e-15,0.218333,0.00355903,SIL,LF
20-06-24_R14,1.33333,7.99116,0.0,0.186,0.00126491,SIL,LF
20-06-24_R14,1.41667,7.96246,0.0,0.186833,0.00147196,SIL,LF
20-06-24_R14,1.5,7.93387,1.90029e-15,0.178167,0.00213698,SIL,LF
20-06-24_R14,1.58333,7.46316,9.50147e-16,0.150167,0.000983192,SIL,LF
20-06-24_R14,1.66667,2.96046,4.75074e-16,0.0619333,0.000776316,SIL,LF
20-06-24_R14,1.75,5.19672,0.119795,0.10085,0.000946044,SIL,LF
20-06-24_R14,1.83333,5.33002,0.159932,0.119333,0.00273252,SIL,LF
20-06-24_R14,1.91667,5.41375,0.159358,0.1035,0.00083666,SIL,LF
20-06-24_R14,2.0,5.09255,0.149903,0.09875,0.000776531,SIL,LF
20-06-24_R14,2.08333,3.79149,0.111606,0.0744333,0.000242212,SIL,LF
20-06-24_R14,2.16667,3.08809,0.0739717,0.0663167,0.000823205,SIL,LF
