id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R9,0.25,0.27507,0.023757,0.0243,0.000626099,PCR,HF
20-06-24_R9,0.347458,0.855653,1.18768e-16,0.0298667,0.00039833,PCR,HF
20-06-24_R9,0.444915,1.60019,0.0,0.04135,0.000467974,PCR,HF
20-06-24_R9,0.542373,1.45143,0.0966491,0.0380667,0.000691857,PCR,HF
20-06-24_R9,0.639831,1.52707,0.0,0.03915,0.000403733,PCR,HF
20-06-24_R9,0.737288,1.47719,0.0434822,0.0383667,0.000196638,PCR,HF
20-06-24_R9,0.834746,2.03197,0.0468404,0.0467833,0.000598052,PCR,HF
20-06-24_R9,0.932203,1.97696,0.0581934,0.05435,0.0015346,PCR,HF
20-06-24_R9,1.02966,2.85309,0.068342,0.0602333,0.000877876,PCR,HF
20-06-24_R9,1.12712,4.12202,9.50147e-16,0.0810167,0.00115484,PCR,HF
20-06-24_R9,1.22458,3.00338,0.0,0.0611167,0.000877306,PCR,HF
20-06-24_R9,1.32203,2.73947,0.0822002,0.0543833,0.000667583,PCR,HF
20-06-24_R9,1.41949,1.3423,0.0488827,0.0313,0.000993982,PCR,HF
20-06-24_R9,1.51695,1.31182,0.0386142,0.0302,0.000275681,PCR,HF
20-06-24_R9,1.61441,1.67681,2.37537e-16,0.0372,0.000493964,PCR,HF
20-06-24_R9,1.71186,1.19022,0.02851,0.02815,0.000225832,PCR,HF
20-06-24_R9,1.80932,1.67789,0.108942,0.0384167,0.000854205,PCR,HF
20-06-24_R9,1.90678,1.75079,2.37537e-16,0.0376,0.000509902,PCR,HF
20-06-24_R9,2.00424,0.341082,0.0254964,0.0145333,0.00039833,PCR,HF
20-06-24_R9,2.10169,2.74503,0.0,0.0555667,0.00137356,PCR,HF
20-06-24_R9,2.19915,1.30693,0.0313061,0.0307,0.000404969,PCR,HF
20-06-24_R9,2.29661,2.38368,0.0701655,0.0477833,0.000716705,PCR,HF
20-06-24_R9,2.39407,2.02907,0.0,0.0323167,0.00218762,PCR,HF
20-06-24_R9,2.49153,2.34411,0.0738878,0.0441667,0.00124847,PCR,HF
20-06-24_R9,2.58898,1.66039,0.0779942,0.0284667,0.000531664,PCR,HF
20-06-24_R9,2.68644,0.507915,0.0655158,0.01165,0.00276677,PCR,HF
20-06-24_R9,2.7839,2.75925,0.0827941,0.04065,0.00387647,PCR,HF
20-06-24_R9,2.88136,2.24371,0.432434,0.0418167,0.00642134,PCR,HF
20-06-24_R9,2.97881,0.403375,0.0628963,0.0117,0.000965401,PCR,HF
20-06-24_R9,3.07627,2.05123,0.68636,0.0330333,0.00622115,PCR,HF
20-06-24_R9,3.17373,0.983975,0.0633457,0.0183167,0.00255532,PCR,HF
20-06-24_R9,3.27119,1.15036,0.0540366,0.0218167,0.00195286,PCR,HF
20-06-24_R9,3.36864,1.18441,0.518628,0.0303833,0.00805963,PCR,HF
20-06-24_R9,3.4661,0.408851,0.00979355,0.0193667,0.000823812,PCR,HF
20-06-24_R9,3.56356,1.01909,0.0472486,0.0288667,0.00298909,PCR,HF
20-06-24_R9,3.66102,0.777884,0.321374,0.0279667,0.00353252,PCR,HF
20-06-24_R9,3.75847,0.749316,0.0236188,0.0279833,0.000947453,PCR,HF
20-06-24_R9,3.85593,0.525312,0.0121095,0.0257,0.000334664,PCR,HF
20-06-24_R9,3.95339,0.428642,0.0298797,0.0276167,0.000204124,PCR,HF
20-06-24_R9,4.05085,0.915941,0.0436222,0.03745,0.00254303,PCR,HF
20-06-24_R9,4.14831,0.337407,0.0260013,0.0314167,0.00030605,PCR,HF
20-06-24_R9,4.24576,0.204744,0.0740576,0.0332833,0.00180933,PCR,HF
20-06-24_R9,4.34322,0.0971138,0.0186016,0.0299667,0.000496655,PCR,HF
20-06-24_R9,4.44068,0.179026,0.0122245,0.0327167,0.000435507,PCR,HF
20-06-24_R9,4.53814,0.0995733,0.0201645,0.0338,0.00069857,PCR,HF
20-06-24_R9,4.63559,0.143675,0.0139214,0.03705,0.00159091,PCR,HF
20-06-24_R9,4.73305,0.210001,0.00914086,0.03745,0.000234521,PCR,HF
20-06-24_R9,4.83051,0.251719,0.0113817,0.0427167,0.000360093,PCR,HF
20-06-24_R9,4.92797,0.0627533,0.0059062,0.0389167,0.000231661,PCR,HF
20-06-24_R9,5.02542,0.233996,0.0239539,0.0417833,0.000462241,PCR,HF
20-06-24_R9,5.12288,0.263277,0.0211964,0.0388667,0.000686052,PCR,HF
20-06-24_R9,5.22034,0.124597,0.0237045,0.0366333,0.00114134,PCR,HF
20-06-24_R9,5.3178,0.0780889,0.00362048,0.0351833,0.000932559,PCR,HF
20-06-24_R9,5.41525,0.742761,0.186079,0.441167,0.0098877,PCR,HF
20-06-24_R9,5.51271,0.740489,0.0750902,0.452167,0.00788458,PCR,HF
20-06-24_R9,5.61017,0.768808,0.0872986,0.490667,0.00776316,PCR,HF
20-06-24_R9,5.70763,0.86309,0.194798,0.514333,0.00640833,PCR,HF
20-06-24_R9,5.80508,0.917316,0.0986745,0.562667,0.00700476,PCR,HF
20-06-24_R9,5.90254,0.917696,0.124338,0.593667,0.00602218,PCR,HF
20-06-24_R9,6.0,0.987089,0.146268,0.611667,0.00467618,PCR,HF
