id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R11,0.25,0.256166,0.00813069,0.02295,0.000361939,PCR,HF
20-06-24_R11,0.308081,0.130957,0.0171602,0.0194833,0.000386868,PCR,HF
20-06-24_R11,0.366162,0.398199,0.0320589,0.0215667,0.000206559,PCR,HF
20-06-24_R11,0.424242,0.987725,0.0689357,0.0302667,0.000933095,PCR,HF
20-06-24_R11,0.482323,1.23234,0.028408,0.0354833,0.00065549,PCR,HF
20-06-24_R11,0.540404,1.43587,0.0619381,0.0377667,0.000717403,PCR,HF
20-06-24_R11,0.598485,1.27178,0.0463145,0.0349,0.000296648,PCR,HF
20-06-24_R11,0.656566,0.890563,0.0280713,0.02845,0.000564801,PCR,HF
20-06-24_R11,0.714646,1.58367,0.0499183,0.0402,0.000481664,PCR,HF
20-06-24_R11,0.772727,1.20914,0.0381133,0.0371167,0.00192501,PCR,HF
20-06-24_R11,0.830808,2.00808,0.0613582,0.0497833,0.00223555,PCR,HF
20-06-24_R11,0.888889,1.10468,0.0,0.0309167,0.000240139,PCR,HF
20-06-24_R11,0.94697,1.81318,0.0434323,0.0482667,0.000467618,PCR,HF
20-06-24_R11,1.00505,2.37228,0.0711823,0.0506,0.000228035,PCR,HF
20-06-24_R11,1.06313,2.18832,0.0,0.04825,0.000242899,PCR,HF
20-06-24_R11,1.12121,3.90169,0.0934599,0.0771167,0.00114964,PCR,HF
20-06-24_R11,1.17929,4.57533,0.0,0.08825,0.0012724,PCR,HF
20-06-24_R11,1.23737,2.8026,0.0824961,0.05755,0.000242899,PCR,HF
20-06-24_R11,1.29545,1.90869,2.37537e-16,0.0421167,0.00033116,PCR,HF
20-06-24_R11,1.35354,2.07421,0.0653805,0.0444167,0.000444597,PCR,HF
20-06-24_R11,1.41162,1.13993,0.0273057,0.0283667,8.16497e-05,PCR,HF
20-06-24_R11,1.4697,1.33674,0.0,0.0314333,0.00018619,PCR,HF
20-06-24_R11,1.52778,0.885074,0.0204027,0.0232333,0.000250333,PCR,HF
20-06-24_R11,1.58586,0.618458,0.0182048,0.0183167,0.000183485,PCR,HF
20-06-24_R11,1.64394,1.01488,0.0304521,0.0251833,0.00017224,PCR,HF
20-06-24_R11,1.70202,0.834373,0.0,0.0219,0.000126491,PCR,HF
20-06-24_R11,1.7601,0.773011,0.0227541,0.0215667,0.000273252,PCR,HF
20-06-24_R11,1.81818,1.47842,2.37537e-16,0.0357333,0.000962635,PCR,HF
20-06-24_R11,1.87626,2.59662,0.113025,0.0567667,0.000631401,PCR,HF
20-06-24_R11,1.93434,2.61019,4.75074e-16,0.0537667,0.000301109,PCR,HF
20-06-24_R11,1.99242,1.33403,0.0400286,0.0319,6.32456e-05,PCR,HF
20-06-24_R11,2.05051,3.27424,0.0,0.0648167,0.00117884,PCR,HF
20-06-24_R11,2.10859,2.33247,0.0558712,0.0508667,0.000595539,PCR,HF
20-06-24_R11,2.16667,1.62924,0.0,0.04155,0.00130499,PCR,HF
20-06-24_R11,2.22475,1.15341,0.0,0.02715,0.00049295,PCR,HF
20-06-24_R11,2.28283,3.39903,0.0783535,0.06465,0.000403733,PCR,HF
20-06-24_R11,2.34091,1.55723,0.0467263,0.0318167,0.000974508,PCR,HF
20-06-24_R11,2.39899,1.93448,0.0463382,0.03155,0.000875785,PCR,HF
20-06-24_R11,2.45707,1.28026,0.0,0.0302167,0.00830408,PCR,HF
20-06-24_R11,2.51515,1.30763,0.0870737,0.0195167,0.00101275,PCR,HF
20-06-24_R11,2.57323,0.839614,0.21054,0.01083,0.00062466,PCR,HF
20-06-24_R11,2.63131,0.571608,0.0804567,0.0113667,0.00110935,PCR,HF
20-06-24_R11,2.68939,0.541636,0.046838,0.0105417,0.000475833,PCR,HF
20-06-24_R11,2.74747,1.36141,0.132554,0.0192,0.000923038,PCR,HF
20-06-24_R11,2.80556,2.16285,0.130292,0.0276333,0.00130333,PCR,HF
20-06-24_R11,2.86364,2.00294,0.0461721,0.0385,0.000544059,PCR,HF
20-06-24_R11,2.92172,0.613203,0.0141356,0.0158667,0.00018619,PCR,HF
20-06-24_R11,2.9798,0.591534,0.0136359,0.0148,0.000268328,PCR,HF
20-06-24_R11,3.03788,1.99372,0.0628429,0.0366333,0.000920145,PCR,HF
20-06-24_R11,3.09596,1.4058,0.0,0.02435,0.000308221,PCR,HF
20-06-24_R11,3.15404,1.02264,0.0445124,0.01665,0.000361939,PCR,HF
20-06-24_R11,3.21212,0.896664,0.269698,0.0124,0.00121655,PCR,HF
20-06-24_R11,3.2702,1.04664,0.0,0.0208167,0.00171746,PCR,HF
20-06-24_R11,3.32828,1.16005,0.0566351,0.0176667,0.000377712,PCR,HF
20-06-24_R11,3.38636,1.10071,0.0,0.0310667,0.00123558,PCR,HF
20-06-24_R11,3.44444,1.07616,0.025778,0.0316833,0.000299444,PCR,HF
20-06-24_R11,3.50253,0.65095,0.0,0.0245667,0.000393277,PCR,HF
20-06-24_R11,3.56061,0.934151,0.0215341,0.02925,0.000723187,PCR,HF
20-06-24_R11,3.61869,0.204372,2.96921e-17,0.01725,0.000207364,PCR,HF
20-06-24_R11,3.67677,0.803256,0.0241025,0.0281167,0.000278687,PCR,HF
20-06-24_R11,3.73485,0.770132,0.0184475,0.0273833,0.000386868,PCR,HF
20-06-24_R11,3.79293,0.533308,0.0260367,0.04805,0.00377134,PCR,HF
20-06-24_R11,3.85101,0.314719,5.93842e-17,0.0219167,0.000285774,PCR,HF
20-06-24_R11,3.90909,0.514713,0.0123292,0.0273833,0.000337145,PCR,HF
20-06-24_R11,3.96717,0.543326,0.0159933,0.0296333,0.000467618,PCR,HF
20-06-24_R11,4.02525,0.413859,0.0130452,0.0299333,0.000273252,PCR,HF
20-06-24_R11,4.08333,0.572107,0.0180333,0.04785,0.00551389,PCR,HF
20-06-24_R11,4.14141,0.253719,0.00799746,0.0297167,0.000248328,PCR,HF
20-06-24_R11,4.19949,0.235907,0.0101761,0.0324,0.000473286,PCR,HF
20-06-24_R11,4.25758,0.281086,0.0130321,0.0341167,0.000248328,PCR,HF
20-06-24_R11,4.31566,0.297237,0.00936912,0.0307333,0.000413118,PCR,HF
20-06-24_R11,4.37374,0.194828,0.011114,0.0382667,0.0141034,PCR,HF
20-06-24_R11,4.43182,0.289646,0.0137945,0.0388333,0.00688467,PCR,HF
20-06-24_R11,4.4899,0.403566,0.0127208,0.0355667,0.000216025,PCR,HF
20-06-24_R11,4.54798,0.191026,0.0132856,0.0363333,0.00122257,PCR,HF
20-06-24_R11,4.60606,0.45666,0.0296363,0.0378833,0.0018883,PCR,HF
20-06-24_R11,4.66414,0.385571,0.0115694,0.0388,0.000576194,PCR,HF
20-06-24_R11,4.72222,0.497069,0.0641166,0.0401,0.000268328,PCR,HF
20-06-24_R11,4.7803,0.215525,0.00634415,0.0385167,0.000354495,PCR,HF
20-06-24_R11,4.83838,0.188428,0.0113753,0.0416667,0.0006121,PCR,HF
20-06-24_R11,4.89646,0.319299,0.0247185,0.042,0.0004,PCR,HF
20-06-24_R11,4.95455,0.165602,0.0142377,0.0399833,0.000523132,PCR,HF
20-06-24_R11,5.01263,0.144124,0.0128368,0.04095,0.000520577,PCR,HF
20-06-24_R11,5.07071,0.106351,0.0179781,0.0364,0.000554977,PCR,HF
20-06-24_R11,5.12879,0.271591,0.0152289,0.03845,0.000281069,PCR,HF
20-06-24_R11,5.18687,0.414727,0.0228503,0.0406,0.000309839,PCR,HF
20-06-24_R11,5.24495,0.215724,0.0170008,0.0347,0.000525357,PCR,HF
20-06-24_R11,5.30303,0.10157,0.011951,0.0334667,0.00018619,PCR,HF
20-06-24_R11,5.36111,1.12314,0.987664,0.453667,0.00750111,PCR,HF
20-06-24_R11,5.41919,0.727134,0.108267,0.449667,0.00332666,PCR,HF
20-06-24_R11,5.47727,0.853745,0.092999,0.488833,0.00453505,PCR,HF
20-06-24_R11,5.53535,0.742468,0.109944,0.472667,0.00615359,PCR,HF
20-06-24_R11,5.59343,0.8664,0.0562272,0.505667,0.00463321,PCR,HF
20-06-24_R11,5.65152,0.80244,0.0292225,0.507,0.00756307,PCR,HF
20-06-24_R11,5.7096,0.827829,0.158507,0.515167,0.00673548,PCR,HF
20-06-24_R11,5.76768,1.04904,0.167182,0.556667,0.00625033,PCR,HF
20-06-24_R11,5.82576,0.81867,0.0650218,0.548,0.00485798,PCR,HF
20-06-24_R11,5.88384,0.916943,0.0637719,0.594167,0.00487511,PCR,HF
20-06-24_R11,5.94192,0.83768,0.102119,0.557,0.00626099,PCR,HF
20-06-24_R11,6.0,1.00293,0.115467,0.608333,0.00320416,PCR,HF
