id,frequency_GHz,peak_mV,sigma_peak_mV,noise_mV,sigma_noise_mV,sample,antenna
20-06-24_R16,0.25,0.0776137,0.0082955,0.0184333,0.000314113,SIL,HF
20-06-24_R16,0.308081,0.0511099,0.00792968,0.0159167,0.000147196,SIL,HF
20-06-24_R16,0.366162,0.0659784,0.00542811,0.0157833,0.00017224,SIL,HF
20-06-24_R16,0.424242,0.0597631,0.00435685,0.0143333,0.000216025,SIL,HF
20-06-24_R16,0.482323,0.0579072,0.00733442,0.0144333,0.000121106,SIL,HF
20-06-24_R16,0.540404,0.0671379,0.0111501,0.0139333,0.000175119,SIL,HF
20-06-24_R16,0.598485,0.140859,0.00613124,0.0153333,0.000233809,SIL,HF
20-06-24_R16,0.656566,0.0865564,0.00862544,0.0146,0.000209762,SIL,HF
20-06-24_R16,0.714646,0.132771,0.00418504,0.0145667,0.000216025,SIL,HF
20-06-24_R16,0.772727,0.327604,0.027164,0.0236667,0.00409569,SIL,HF
20-06-24_R16,0.830808,0.53364,0.0157081,0.0221333,0.000688961,SIL,HF
20-06-24_R16,0.888889,0.555645,0.0,0.0211333,0.000332666,SIL,HF
20-06-24_R16,0.94697,0.452621,0.0,0.0236667,0.000575036,SIL,HF
20-06-24_R16,1.00505,0.423379,0.0127039,0.0177667,0.000121106,SIL,HF
20-06-24_R16,1.06313,0.810454,0.0366455,0.0247,0.000579655,SIL,HF
20-06-24_R16,1.12121,0.625243,0.128459,0.02255,0.00210404,SIL,HF
20-06-24_R16,1.17929,0.956047,0.0955677,0.0268667,0.00132313,SIL,HF
20-06-24_R16,1.23737,0.924255,0.0277331,0.0254,0.000126491,SIL,HF
20-06-24_R16,1.29545,0.960058,1.18768e-16,0.02575,8.3666e-05,SIL,HF
20-06-24_R16,1.35354,0.559506,0.0266467,0.0182333,0.000175119,SIL,HF
20-06-24_R16,1.41162,0.571678,0.014567,0.0182667,0.000175119,SIL,HF
20-06-24_R16,1.4697,0.860086,0.0258077,0.0229167,0.000248328,SIL,HF
20-06-24_R16,1.52778,1.0624,0.0386898,0.0262333,0.000150555,SIL,HF
20-06-24_R16,1.58586,0.491259,0.0144606,0.016,0.000109545,SIL,HF
20-06-24_R16,1.64394,0.498795,0.0,0.0163333,0.000196638,SIL,HF
20-06-24_R16,1.70202,0.65114,0.0394247,0.0188167,0.000411906,SIL,HF
20-06-24_R16,1.7601,0.843074,0.0363671,0.0219833,0.000365605,SIL,HF
